product_code,title,product_description,currency,price,product_quantity_raw,price_per_product_quantity_raw,tax_details,additional_manufacturer,manufacturers,product_info_url,country,product_img_url,availability,raw_data,raw_html
PRE5300 NGRN,Temple Eyewear Safety Spectacles Green,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/88c3f8cb00efa39edeeef55bce61851e.jpg|./media/products/88c3f8cb00efa39edeeef55bce61851e.jpg,,,
PRE5300NPNK,Temple Eyewear Safety Spectacles Pink,,GBP,"£
                        12.96",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/4f9f411a8e1c1038c541e79353b891a0.jpg|./media/products/4f9f411a8e1c1038c541e79353b891a0.jpg,,,
PRE5300 NBLU,Temple Eyewear Safety Spectacles Blue,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/2d52090da1b8618b92cf045aec737bc7.jpg|./media/products/2d52090da1b8618b92cf045aec737bc7.jpg,,,
PREWOR5300,Temple Eyewear Safety Spectacles  Wild Orchid,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/9a236209afa1301de2024fd9b6b4f6c6.jpg|./media/products/9a236209afa1301de2024fd9b6b4f6c6.jpg,,,
PRE5300  ICO,Temple Eyewear Safety Spectacles   Island Coral,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/1a521b23342e16d0074c8205cb688786.jpg|./media/products/1a521b23342e16d0074c8205cb688786.jpg,,,
PRE 5300 HPK,Temple Eyewear Safety Spectacles  Hot Pink,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/5aa7d3257f3f2d357f0d55c69babc927.jpg|./media/products/5aa7d3257f3f2d357f0d55c69babc927.jpg,,,
5300AQS,Temple Eyewear Safety Spectacles  Aqua Sea,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/d886d0ec0c480dc3256ed42f1b37000e.jpg|./media/products/d886d0ec0c480dc3256ed42f1b37000e.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/pa5_paediatric_free_field_audiometer,UK,,,,
GIM-33601,PA5 Paediatric Free Field Audiometer,,GBP,"£
                        1,668.00",1,,(Inc. VAT),,,https://www.medema.co.uk/pa5_paediatric_free_field_audiometer,UK,./media/products/7eeb7bcd328b6196cf9f9d49bc016685.jpg|./media/products/7eeb7bcd328b6196cf9f9d49bc016685.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/elite_cool_box_for_transportation,UK,,,,
ELEB120,Elite Cool Box for Transportation,,GBP,"£
                        98.40",1,,(Inc. VAT),,,https://www.medema.co.uk/elite_cool_box_for_transportation,UK,./media/products/47afaec50373372cfb989b3171417b61.jpg|./media/products/47afaec50373372cfb989b3171417b61.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/a4_thermal_vaccine_carrying_wallet,UK,,,,
PORTATHERMA4,A4 Thermal Vaccine Carrying Wallet,,GBP,"£
                        114.00",1,,(Inc. VAT),,,https://www.medema.co.uk/a4_thermal_vaccine_carrying_wallet,UK,./media/products/4adb4957d63afc03f5d8be8727c3790a.jpg|./media/products/4adb4957d63afc03f5d8be8727c3790a.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/30l_thermal_vaccine_transportation_bag,UK,,,,
PORTA30L,30L Thermal Vaccine Transportation Bag,,GBP,"£
                        244.80",1,,(Inc. VAT),,,https://www.medema.co.uk/30l_thermal_vaccine_transportation_bag,UK,./media/products/3b62d76b01fed4accc225362d9a63aa1.jpg|./media/products/3b62d76b01fed4accc225362d9a63aa1.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/labcold_portable_drug_vaccine_refrigerator,UK,,,,
LAB-RPDF00120 b,Labcold Portable Drug and Vaccine Refrigerator,,GBP,"£
                        730.80",1,,(Inc. VAT),,,https://www.medema.co.uk/labcold_portable_drug_vaccine_refrigerator,UK,./media/products/64ffceb29043cd6cf2b9af057e0b3b75.jpg|./media/products/64ffceb29043cd6cf2b9af057e0b3b75.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/portability_thermal_vaccine_carry_bags_10_litre,UK,,,,
PORTA-2991,Porta-thermal 10 Litre Thermal Vaccine Transportation Bag,,GBP,"£
                        155.52",1,,(Inc. VAT),,,https://www.medema.co.uk/portability_thermal_vaccine_carry_bags_10_litre,UK,./media/products/b4076a17f2326da6d356393c2ee6954f.jpg|./media/products/b4076a17f2326da6d356393c2ee6954f.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/thermal_bag_temperature_pack,UK,,,,
GIM- 27206,Thermal Bag Temperature Pack  box of 2,,GBP,"£
                        5.99",1,,(Inc. VAT),,,https://www.medema.co.uk/thermal_bag_temperature_pack,UK,./media/products/63f5a244e4f5c628b3f3af85e07b9791.jpg|./media/products/63f5a244e4f5c628b3f3af85e07b9791.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/easichill_1_litre_gel_pack_for_vaccine_transportation,UK,,,,
CORMED-PP2410,EasiChill 1 Litre Gel Pack for Vaccine Transportation Box 10,,GBP,"£
                        35.99",1,,(Inc. VAT),,,https://www.medema.co.uk/easichill_1_litre_gel_pack_for_vaccine_transportation,UK,./media/products/cad423119e3ad5ff02aaef75331be9e9.jpg|./media/products/cad423119e3ad5ff02aaef75331be9e9.jpg,,,
CORMED-PP24,EasiChill 1 Litre Gel Pack for Vaccine Transportation,,GBP,"£
                        4.79",1,,(Inc. VAT),,,https://www.medema.co.uk/easichill_1_litre_gel_pack_for_vaccine_transportation,UK,./media/products/707e19944af8e6a4e75787f7eecc8574.jpg|./media/products/707e19944af8e6a4e75787f7eecc8574.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/professional_vaccine_carrier,UK,,,,
GIM27211,Professional Vaccine Carrier,,GBP,"£
                        90.00",1,,(Inc. VAT),,,https://www.medema.co.uk/professional_vaccine_carrier,UK,./media/products/be89977dc019d2fcba32c2115216e66a.jpg|./media/products/be89977dc019d2fcba32c2115216e66a.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/porta-thermal_20_litre_thermal_vaccine_transportation_bag_,UK,,,,
PORTA-2992,Porta-thermal 20 Litre Thermal Vaccine Transportation Bag,,GBP,"£
                        201.60",1,,(Inc. VAT),,,https://www.medema.co.uk/porta-thermal_20_litre_thermal_vaccine_transportation_bag_,UK,./media/products/00f05db7084c30a8a41caee33168d19d.jpg|./media/products/00f05db7084c30a8a41caee33168d19d.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/thermal_bag_for__lab_samples_and_medicines,UK,,,,
GIM-27210,Thermal Bag  for Lab Samples and Medicine,,GBP,"£
                        117.60",1,,(Inc. VAT),,,https://www.medema.co.uk/thermal_bag_for__lab_samples_and_medicines,UK,./media/products/5d4240a5f4ecd662bdf029daccca2b5b.jpg|./media/products/5d4240a5f4ecd662bdf029daccca2b5b.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/3_litre_thermal_vaccine_bag,UK,,,,
PORTA-2990*,3 Litre Thermal Vaccine Bag,,GBP,"£
                        118.08",1,,(Inc. VAT),,,https://www.medema.co.uk/3_litre_thermal_vaccine_bag,UK,./media/products/aba46cadecf6c6ab0cedd50ba778910e.jpg|./media/products/aba46cadecf6c6ab0cedd50ba778910e.jpg,,,
